Local Health District,Recovered,Lives lost *,Total
Central Coast,105,1,117
Far West,1,0,2
Hunter New England,246,4,278
Illawarra Shoalhaven,103,2,114
Mid North Coast,47,1,50
Murrumbidgee,44,1,46
Nepean Blue Mountains,107,17,177
Northern NSW,53,0,55
Northern Sydney,446,8,535
South Eastern Sydney,659,3,681
South Western Sydney,205,4,245
Southern NSW,51,0,56
Sydney,213,3,259
Western NSW,36,1,44
Western Sydney,254,3,285
NSW Total **,"2,661",50,"3,092"
